,RoadID,Length,CEmission,Flow,CTotal,CStrength,Grade7,QuantileBreak,NatureBreak,TotalBreak
0,1,238.0825445,0.427660382,1167.0,118.8221567,499.0796658,3,3,4,2.0
1,2,941.5750973,0.535647298,5144.0,2594.387494,2755.369701,6,7,7,5.0
2,3,1546.101271,0.612537373,607.0,574.8562002,371.8101854,3,6,3,3.0
3,4,233.965233,0.487483428,62.0,7.071358777,30.22397254,1,1,1,1.0
4,5,226.6650552,0.404323173,391.0,35.83356032,158.0903606,2,2,2,1.0
5,6,516.9393077,0.485560751,69.0,17.31937525,33.50369182,1,1,1,1.0
6,7,178.2100813,0.502413759,50.0,4.476759842,25.12068795,1,1,1,1.0
7,8,136.0012189,0.488492081,605.0,40.19348866,295.537709,3,2,3,1.0
8,9,133.9741996,0.492869773,597.0,39.42100451,294.2432545,3,2,3,1.0
9,10,749.8093923,0.483787642,1239.0,449.4454136,599.4128884,4,5,4,3.0
10,11,903.0168244,0.54327469,1486.0,729.0110714,807.3061893,4,6,5,3.0
11,12,992.5709065,0.624402546,176.0,109.078429,109.8948481,2,3,2,2.0
12,13,233.2986773,0.455114378,711.0,75.49226109,323.5863228,3,2,3,1.0
13,14,203.8196125,0.439734024,778.0,69.7293535,342.1130707,3,2,3,1.0
14,15,2.376847906,0.451041277,344.0,0.368787441,155.1581993,2,1,2,1.0
15,16,436.4475406,0.484096652,909.0,192.056059,440.0438567,3,4,3,2.0
16,17,591.9003961,0.506727713,891.0,267.2397096,451.4943923,3,4,3,2.0
17,18,300.0834857,0.446223888,1789.0,239.5550069,798.2945356,4,4,5,2.0
18,19,212.0513929,0.551119383,225.0,26.29476738,124.0018612,2,2,2,1.0
19,20,366.6947745,0.468732831,963.0,165.5222502,451.3897163,3,3,3,2.0
20,21,0.484520711,0.54239524,239.0,0.062809613,129.6324624,2,1,2,1.0
21,22,322.0833585,0.577631933,814.0,151.4411452,470.1923935,3,3,3,2.0
22,23,1.153079048,0.516889336,563.0,0.33555603,291.0086962,3,1,3,1.0
23,24,760.3757283,0.3667924,636.0,177.3804243,233.2799664,3,4,2,2.0
24,25,164.7049194,0.360574009,908.0,53.92458829,327.4012002,3,2,3,1.0
25,26,449.3839115,0.458201262,973.0,200.3487519,445.8298279,3,4,3,2.0
26,27,293.8324108,0.304118495,315.0,28.14835922,95.79732593,2,2,1,1.0
27,28,170.9657592,0.398529461,156.0,10.62904313,62.17059592,1,1,1,1.0
28,29,966.5518093,0.455415973,223.0,98.16083859,101.557762,2,3,2,1.0
29,30,520.1371407,0.488208205,604.0,153.3768728,294.8777558,3,3,3,2.0
30,31,403.1522413,0.506149225,623.0,127.1263862,315.3309672,3,3,3,2.0
31,32,157.7653124,0.481893559,497.0,37.78496568,239.5010988,3,2,2,1.0
32,33,243.5330616,0.473761218,859.0,99.10843058,406.9608863,3,3,3,1.0
33,34,310.7058227,0.386046763,1431.0,171.6441242,552.4329179,4,4,4,2.0
34,35,18.79969976,0.63344231,179.0,2.131626019,113.3861735,2,1,2,1.0
35,36,641.549834,0.612440508,400.0,157.1644425,244.9762032,3,3,2,2.0
36,37,1217.678165,0.616461371,471.0,353.5568805,290.3533057,3,5,3,3.0
37,38,401.7221597,0.391305291,1509.0,237.208774,590.4796841,4,4,4,2.0
38,39,240.3958339,0.49234523,517.0,61.19095268,254.5424839,3,2,3,1.0
39,40,183.7875799,0.468413632,512.0,44.0773672,239.8277796,3,2,2,1.0
40,41,61.11520173,0.429264888,357.0,9.365755851,153.247565,2,1,2,1.0
41,42,499.0990074,0.496955577,608.0,150.8022614,302.1489908,3,3,3,2.0
42,43,162.0631152,,,,0.0,0,0,0,0.0
43,44,233.3822387,0.425962516,543.0,53.98076247,231.2976462,3,2,2,1.0
44,45,75.16064819,0.482970017,337.0,12.23321442,162.7608957,2,1,2,1.0
45,46,91.25907576,0.47628081,377.0,16.38628484,179.5578654,2,1,2,1.0
46,47,228.7246398,0.461401058,616.0,65.00881513,284.2230517,3,2,3,1.0
47,48,476.4625263,0.489223329,567.0,132.1657627,277.3896275,3,3,3,2.0
48,49,156.2857371,0.47918229,228.0,17.07477349,109.2535621,2,1,2,1.0
49,50,261.9687144,0.461987311,164.0,19.8483004,75.765919,2,1,1,1.0
50,51,190.060253,0.4028909,351.0,26.87731478,141.4147059,2,2,2,1.0
51,52,495.6260229,0.455650846,618.0,139.5644335,281.5922228,3,3,3,2.0
52,53,466.2570106,0.468122677,803.0,175.2671804,375.9025096,3,4,3,2.0
53,54,250.0310593,0.435109478,633.0,68.86462938,275.4242996,3,2,3,1.0
54,55,394.195465,0.516918991,1322.0,269.3801353,683.3669061,4,4,4,2.0
55,56,2278.852207,0.656146571,761.0,1137.893668,499.3275405,3,7,4,4.0
56,57,277.9565809,0.389493725,760.0,82.2793815,296.015231,3,3,3,1.0
57,58,383.516741,0.49366875,425.0,80.46534781,209.8092188,3,3,2,1.0
58,59,42.56629018,0.508057803,196.0,4.238722631,99.57932939,2,1,1,1.0
59,60,227.3631892,0.33003486,455.0,34.14218913,150.1658613,2,2,2,1.0
60,61,253.7562183,0.415314396,1529.0,161.1391855,635.0157115,4,3,4,2.0
61,62,9.314459438,0.509362341,196.0,0.929909233,99.83501884,2,1,1,1.0
62,63,370.0693466,0.472859576,435.0,76.12101293,205.6939156,3,2,2,1.0
63,64,542.8502578,0.451651424,743.0,182.1680653,335.577008,3,4,3,2.0
64,65,86.90717391,0.506851725,216.0,9.514595018,109.4799726,2,1,2,1.0
65,66,1670.749354,0.540110007,4354.0,3928.999291,2351.63897,6,7,7,5.0
66,67,276.6671224,0.448274976,974.0,120.798351,436.6198266,3,3,3,2.0
67,68,351.5263633,0.392740835,905.0,124.9431755,355.4304557,3,3,3,2.0
68,69,367.6851633,0.411439356,744.0,112.5524292,306.1108809,3,3,3,2.0
69,70,6.950261361,0.470996898,68.0,0.222601505,32.02778906,1,1,1,1.0
70,71,393.4985336,0.386425176,1007.0,153.1221443,389.1301522,3,3,3,2.0
71,72,512.2733671,0.411776579,467.0,98.50999555,192.2996624,2,3,2,1.0
72,73,193.9115274,0.472720015,232.0,21.26647955,109.6710435,2,1,2,1.0
73,74,221.441547,0.210683406,371.0,17.30865602,78.16354363,2,1,1,1.0
74,75,86.72616962,0.492395478,111.0,4.740096686,54.65589806,1,1,1,1.0
75,76,297.6487277,0.497489868,131.0,19.39811664,65.17117271,1,1,1,1.0
76,77,127.4154946,0.49830949,84.0,5.333357411,41.85799716,1,1,1,1.0
77,78,400.9342975,0.461657483,664.0,122.9026276,306.5405687,3,3,3,2.0
78,79,380.3161016,0.50524026,68.0,13.06626841,34.35633768,1,1,1,1.0
79,80,151.8809614,0.44323361,343.0,23.09033016,152.0291282,2,1,2,1.0
80,81,170.2914965,0.402295023,749.0,51.3120587,301.3189722,3,2,3,1.0
81,82,118.6029135,0.487164679,346.0,19.991586,168.5589789,2,1,2,1.0
82,83,273.1035557,0.462780783,488.0,61.67689375,225.8370221,3,2,2,1.0
83,84,222.3385572,0.509348687,181.0,20.49786124,92.19211235,2,1,1,1.0
84,85,72.20598034,0.483330999,57.0,1.989265151,27.54986694,1,1,1,1.0
85,86,200.1519954,0.451548666,754.0,68.14528836,340.4676942,3,2,3,1.0
86,87,329.7159123,0.413443069,351.0,47.8478843,145.1185172,2,2,2,1.0
87,88,141.8814577,0.430547228,434.0,26.51161405,186.857497,2,2,2,1.0
88,89,251.1009429,0.435882986,288.0,31.52178109,125.5343,2,2,2,1.0
89,90,324.2719506,0.400864252,587.0,76.30356233,235.3073159,3,2,2,1.0
90,91,198.8380641,0.457111796,46.0,4.180996331,21.02714262,0,1,1,1.0
91,92,115.263884,0.443374431,313.0,15.99588346,138.7761969,2,1,2,1.0
92,93,331.5188095,0.482991638,239.0,38.26887427,115.4350015,2,2,2,1.0
93,94,249.1868925,0.415914078,572.0,59.28227256,237.9028526,3,2,2,1.0
94,95,225.2663009,0.437809804,408.0,40.23850838,178.6264,2,2,2,1.0
95,96,214.4678423,0.460815644,310.0,30.63734243,142.8528496,2,2,2,1.0
96,97,357.7556826,0.470672548,41.0,6.903816926,19.29757447,0,1,1,1.0
97,98,65.02121677,0.440316035,160.0,4.580781497,70.4505656,1,1,1,1.0
98,99,314.2073557,0.505553158,805.0,127.8730594,406.9702922,3,3,3,2.0
99,100,126.4729081,0.509776133,1016.0,65.50443594,517.9325511,4,2,4,1.0
100,101,405.8829802,0.451806315,515.0,94.44095421,232.6802522,3,3,2,1.0
101,102,181.1794242,0.461591712,292.0,24.42022881,134.7847799,2,2,2,1.0
102,103,421.9738836,0.537192663,755.0,171.1443621,405.5804606,3,3,3,2.0
103,104,225.2729926,0.469327975,398.0,42.07931314,186.7925341,2,2,2,1.0
104,105,216.5886767,0.463304465,143.0,14.34954964,66.2525385,1,1,1,1.0
105,106,255.3387708,0.408305977,365.0,38.05356639,149.0316816,2,2,2,1.0
106,107,341.503689,0.413820591,340.0,48.04922786,140.6990009,2,2,2,1.0
107,108,130.64163,0.410933493,846.0,45.41752806,347.6497351,3,2,3,1.0
108,109,448.821091,0.466321887,228.0,47.71928236,106.3213902,2,2,2,1.0
109,110,200.1388947,0.507642186,1280.0,130.0466509,649.7819981,4,3,4,2.0
110,111,1001.206171,0.564674831,1173.0,663.1625005,662.3635768,4,6,4,3.0
111,112,266.5333144,0.474743755,174.0,22.01709461,82.60541337,2,1,1,1.0
112,113,298.2010485,0.43353118,741.0,95.79607425,321.2466044,3,3,3,1.0
113,114,41.9518604,0.429811127,299.0,5.391381543,128.513527,2,1,2,1.0
114,115,115.4853624,0.447459929,92.0,4.75410663,41.16631347,1,1,1,1.0
115,116,287.7338938,0.424587073,83.0,10.13995162,35.24072706,1,1,1,1.0
116,117,161.8501339,0.392202866,60.0,3.808685183,23.53217196,0,1,1,1.0
117,118,106.6510947,0.474926404,100.0,5.065142089,47.4926404,1,1,1,1.0
118,119,106.5015421,0.399964935,104.0,4.430075766,41.59635324,1,1,1,1.0
119,120,237.7525806,0.447325679,387.0,41.15854697,173.1150378,2,2,2,1.0
120,121,398.0322666,0.474452579,252.0,47.58955372,119.5620499,2,2,2,1.0
121,122,171.4366498,0.503960044,233.0,20.13055263,117.4226903,2,1,2,1.0
122,123,333.3125106,0.549192801,239.0,43.74962668,131.2570794,2,2,2,1.0
123,124,985.6580474,0.45560441,3.0,1.347210459,1.36681323,0,1,1,1.0
124,125,1257.894189,0.526944396,5.0,3.314201468,2.63472198,0,1,1,1.0
125,126,26.97448873,0.520228271,2.0,0.028065783,1.040456542,0,1,1,1.0
126,127,591.6879003,0.527046262,6.0,1.871081377,3.162277572,0,1,1,1.0
127,128,232.9943956,0.508859785,5.0,0.59280739,2.544298925,0,1,1,1.0
128,129,517.8324627,0.466750189,452.0,109.2476767,210.9710854,3,3,2,2.0
129,130,672.0797366,0.449812728,856.0,258.7773769,385.0396952,3,4,3,2.0
130,131,350.472411,0.487783363,322.0,55.04738483,157.0662429,2,2,2,1.0
131,132,410.198417,0.481072561,334.0,65.9099578,160.6782354,2,2,2,1.0
132,133,286.9771715,0.452282868,272.0,35.30420142,123.0209401,2,2,2,1.0
133,134,259.7348478,0.507871265,122.0,16.09324762,61.96029433,1,1,1,1.0
134,135,221.1616111,0.509451023,53.0,5.971563478,27.00090422,1,1,1,1.0
135,136,370.1713017,0.466613024,101.0,17.4454018,47.12791542,1,1,1,1.0
136,137,803.3506016,0.440948073,132.0,46.75913876,58.20514564,1,2,1,1.0
137,138,243.7302408,0.569636202,473.0,65.67016999,269.4379235,3,2,3,1.0
138,139,598.7831383,0.443489547,221.0,58.68744787,98.01118989,2,2,1,1.0
139,140,305.9453935,0.46173687,261.0,36.87049605,120.5133231,2,2,2,1.0
140,141,509.3232809,0.483760188,146.0,35.97298761,70.62898745,1,2,1,1.0
141,142,388.6693245,0.479532329,179.0,33.36193164,85.83628689,2,2,1,1.0
142,143,391.1850185,0.492146963,318.0,61.22152499,156.5027342,2,2,2,1.0
143,144,584.3403438,0.481841618,575.0,161.8967106,277.0589304,3,3,3,2.0
144,145,636.3016695,0.420536975,1362.0,364.4553726,572.77136,4,5,4,3.0
145,146,599.6429816,0.454952974,9.0,2.45528422,4.094576766,0,1,1,1.0
146,147,122.7560698,0.540181677,2.0,0.132621159,1.080363354,0,1,1,1.0
147,148,186.446668,0.520382188,2.0,0.19404705,1.040764376,0,1,1,1.0
148,149,221.1883505,0.499474746,50.0,5.523899759,24.9737373,0,1,1,1.0
149,150,392.3032939,0.509138124,14.0,2.796311883,7.127933736,0,1,1,1.0
150,151,592.463256,0.515156231,94.0,28.68984697,48.42468571,1,2,1,1.0
151,152,62.72634978,0.343806975,140.0,3.01920592,48.1329765,1,1,1,1.0
152,153,377.6804106,0.388337211,208.0,30.50681032,80.77413989,2,2,1,1.0
153,154,490.1445041,0.450082405,167.0,36.84110467,75.16376164,2,2,1,1.0
154,155,523.4564164,0.520771522,153.0,41.70798278,79.67804287,2,2,1,1.0
155,156,5.34066738,0.376827707,257.0,0.517215441,96.8447207,2,1,1,1.0
156,157,924.1886592,,,,0.0,0,0,0,0.0
157,158,484.8581574,0.503819239,93.0,22.71812071,46.85518923,1,1,1,1.0
158,159,411.2813955,0.47276405,202.0,39.27668976,95.4983381,2,2,1,1.0
159,160,312.0213626,0.469540516,55.0,8.057866938,25.82472838,1,1,1,1.0
160,161,17.67826626,0.508511849,19.0,0.170802549,9.661725131,0,1,1,1.0
161,162,283.6070452,0.432400928,1619.0,198.5411263,700.0571024,4,4,4,2.0
162,163,612.7813286,0.364949736,1446.0,323.3753194,527.7173183,4,4,4,2.0
163,164,192.3071866,0.422956934,654.0,53.19482835,276.6138348,3,2,3,1.0
164,165,348.5044622,0.437984203,760.0,116.0059813,332.8679943,3,3,3,2.0
165,166,658.0312553,0.461897323,1307.0,397.253338,603.6998012,4,5,4,3.0
166,167,296.2515024,0.451805909,21.0,2.810811766,9.487924089,0,1,1,1.0
167,168,242.6622974,0.445289453,38.0,4.106088544,16.92099921,0,1,1,1.0
168,169,393.3004121,0.419635177,66.0,10.89281741,27.69592168,1,1,1,1.0
169,170,565.4752476,0.45015662,15.0,3.818286392,6.7523493,0,1,1,1.0
170,171,270.6477329,0.513981403,16.0,2.225726424,8.223702448,0,1,1,1.0
171,172,416.2290622,0.507699785,68.0,14.36971957,34.52358538,1,1,1,1.0
172,173,230.3843515,0.530712046,6.0,0.733606503,3.184272276,0,1,1,1.0
173,174,209.6275251,0.562123905,4.0,0.471346572,2.24849562,0,1,1,1.0
174,175,525.1422167,0.388980779,6.0,1.225621371,2.333884674,0,1,1,1.0
175,176,620.3492507,0.430468323,22.0,5.874895436,9.470303106,0,1,1,1.0
176,177,627.9428644,0.441595412,34.0,9.428087389,15.01424401,0,1,1,1.0
177,178,241.4519617,0.402206617,17.0,1.650930804,6.837512489,0,1,1,1.0
178,179,235.4410805,0.30954206,2.0,0.145757834,0.61908412,0,1,1,1.0
179,180,313.5331737,0.529084905,25.0,4.147141736,13.22712263,0,1,1,1.0
180,181,303.6979007,0.562567719,18.0,3.075311435,10.12621894,0,1,1,1.0
181,182,540.9756385,0.502400038,32.0,8.697157803,16.07680122,0,1,1,1.0
182,183,450.6688786,0.568412664,10.0,2.561658979,5.68412664,0,1,1,1.0
183,184,426.3974302,0.525903638,11.0,2.466683558,5.784940018,0,1,1,1.0
184,185,444.8693241,0.062046004,104.0,2.870645842,6.452784416,0,1,1,1.0
185,186,247.4452571,,,,0.0,0,0,0,0.0
186,187,19.23772338,0.496783354,3.0,0.028670942,1.490350062,0,1,1,1.0
